ref_id_side,route,count
23694684R,1202,6
23694694L,4203,2
23694694R,4203,1
23694696L,4203,1
23694696R,4203,1
23694697L,4203,5
23694697R,4203,6
23694698L,4203,7
23694698R,4203,5
23694709L,2203,13
23694709R,2203,14
23694780L,5201,3
23694780R,5201,3
23694973L,1202,2
23694973R,1202,3
23695123L,5203,7
23695123R,5203,10
23695258L,2201,5
23695258R,2201,6
23695259L,2201,1
23695259R,2201,3
23695260L,2202,2
23695260R,2202,1
23695261L,2202,2
23695261R,2202,1
23695432R,4203,4
23695510L,3201,6
23695510R,3201,8
23695552L,2201,3
23695553L,2201,1
23695553R,2201,1
23695554L,2201,10
23695554R,2201,10
23695555L,2201,10
23695555R,2201,10
23695557L,2201,4
23695557R,2201,5
23695558L,2201,6
23695558R,2201,8
23695708L,3202,17
23695708R,3202,12
23695879L,3202,17
23695879R,3202,16
23696017L,1202,9
23696017R,1202,6
23696018L,1202,5
23696018R,1202,4
23696310L,2201,6
23696310R,2201,3
23696312L,2202,19
23696312R,2202,18
23696370L,5202,15
23696370R,5202,18
23696605L,1202,3
23696605R,1202,2
23696652L,5201,3
23696652R,5201,4
23696653L,2201,16
23696653R,2201,11
23696732L,5203,4
23696732R,5203,7
23696733L,5203,3
23696733R,5203,2
23696734L,5203,1
23696735L,5203,7
23696739L,2202,1
23696863L,3201,3
23696863R,3201,4
23696864L,3201,3
23696864R,3201,5
23696865L,3201,3
23696865R,3201,4
23696866L,3201,3
23696866R,3201,4
23696867L,3201,3
23696867R,3201,6
23696868L,3201,3
23696868R,3201,4
23696869L,3201,4
23696869R,3201,5
23696870L,3201,4
23696870R,3201,6
23696871L,3201,4
23696871R,3201,5
23696915L,4203,9
23696915R,4203,4
23696916R,4203,1
23696917L,4203,4
23696917R,4203,2
23696918L,4203,3
23696919R,4203,1
23696920L,4203,6
23696920R,4203,4
23696923L,2202,1
23696923R,4203,2
23696924L,2202,1
23696924R,4203,1
23696925L,2202,1
23696925R,4203,2
23696926L,2202,1
23697066R,4203,1
23697067L,4203,1
23697067R,4203,1
23697069L,4203,1
23697069R,4203,1
23697070R,4203,2
23697072L,4203,4
23697073L,4203,8
23697073R,4203,7
23697161R,1203,4
23697162R,1203,2
23697163R,1203,3
23697164L,1203,4
23697164R,1203,6
23697166L,4203,4
23697166R,4203,3
23697167L,4203,3
23697167R,4203,1
23697171R,2202,4
23697237L,5203,4
23697237R,5203,6
23697317L,2202,3
23697317R,2202,2
23697318L,2202,1
23697318R,2202,2
23697355R,3203,1
23697441L,3201,17
23697441R,3201,14
23697587L,2201,3
23697587R,2201,3
23697674L,5201,8
23697674R,5201,10
23697722L,1202,3
23697722R,1202,5
23697828L,1203,1
23697828R,2202,1
23697895L,1202,1
23697896L,1202,5
23697896R,1202,3
23697939L,4201,1
