Id2,Population,MedHHInc,studio,bed1,bed2,bed3,bed4,bed5,med_age,Vacant,HH1,HH2,HH3,HH4,HH5,HH6,HH7,AvgHHSize,AvOwnHHsize,AvRenHHsize,TotalHH,OwnerHH,RenterHH,R100,R150,R199,R249,R299,R349,R399,R449,R499,R549,R599,R649,R699,R749,R799,R899,R999,R1249,R1499,R1999,R2499,R2999,R3499,R3500plus,White,AfAm,NatAm,Asian,Hawaiin,Other,Inter,Total_Bachelors,STEM,STEM_rel,Business,Education,Humanities,Total_HH,FamHH,NonFM,NoFamAloneHH,DetachUnit,AttachUnit,TwoUnits,Units_3_4,Units_5_9,Units_10_19,Units_20_49,Units_50plus,UnitMobile,Unit_Other,HouseYear
60855068042,1203,144063.0,0,0,19,188,188,20,35.7,0,66,103,124,81,41,0,0,2.9,2.72,4.05,1203,972,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,6,24,8,812,13,0,303,20,38,17,552,283,27,92,10,140,415,349,66,66,393,0,9,13,0,0,0,0,0,0,1963
60855068043,1132,191875.0,0,0,9,173,224,0,41.3,26,58,93,103,102,16,8,0,2.98,2.96,3.08,1132,944,188,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,10,10,4,12,819,0,0,229,0,0,84,487,281,35,63,17,91,380,298,82,58,398,8,0,0,0,0,0,0,0,0,1966
60855069001,1281,130125.0,0,0,156,160,137,13,41.7,27,53,189,69,67,44,17,0,2.92,2.89,2.98,1281,893,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,19,15,31,0,15,1070,0,0,194,0,0,17,462,297,39,60,0,66,439,344,95,53,281,118,19,33,0,0,0,15,0,0,1970
60855069002,1926,133917.0,0,0,14,220,286,123,44.2,0,116,170,120,177,32,28,0,3.0,2.94,3.81,1926,1762,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,15,1540,0,25,298,0,0,63,785,542,30,63,38,112,643,527,116,116,617,26,0,0,0,0,0,0,0,0,1965
60855069004,2512,121230.0,0,121,206,244,335,41,44.3,65,162,291,145,235,49,0,0,2.77,2.83,2.62,2443,1761,682,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,60,105,0,20,16,2023,0,0,282,0,0,207,1033,513,32,217,119,152,882,699,183,162,745,88,0,0,0,0,20,94,0,0,1963
60855070011,2243,123140.0,88,281,271,269,218,24,46.1,56,464,347,127,118,39,0,0,2.05,2.37,1.71,2243,1331,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,56,131,96,52,39,93,32,2031,17,0,91,0,22,82,1284,495,164,273,126,226,1095,550,545,464,763,71,13,83,118,0,77,14,12,0,1944
60855070012,2614,199766.0,47,117,157,264,359,167,50.1,98,214,358,273,131,23,14,0,2.49,2.67,1.56,2527,2273,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,73,11,27,0,29,8,0,2330,52,0,126,0,33,73,1524,751,79,218,109,367,1013,771,242,214,818,69,13,88,13,47,37,26,0,0,1963
60855070013,1507,101888.0,26,60,233,174,96,43,46.7,36,140,213,135,72,36,0,0,2.53,2.42,3.06,1507,1201,306,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,10,0,28,0,0,13,0,1300,0,0,176,13,0,18,865,448,77,225,74,41,596,437,159,140,365,62,13,39,103,0,0,50,0,0,1972
60855070014,437,156597.0,31,230,67,61,9,17,54.7,142,136,114,23,0,0,0,0,1.6,1.87,1.3,437,269,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,88,0,18,0,410,0,0,27,0,0,0,301,131,12,63,14,81,273,110,163,136,132,22,0,28,30,87,116,0,0,0,1965
60855070021,1822,201359.0,8,60,126,246,230,42,48.0,47,111,269,109,104,35,26,11,2.73,2.83,2.35,1818,1494,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,56,23,0,0,0,1372,7,0,277,0,2,164,1015,577,61,145,54,178,665,507,158,111,629,6,27,35,8,0,7,0,0,0,1964
60855070022,1096,260000.0,0,0,63,135,112,50,51.1,20,52,111,81,71,17,8,0,2.91,2.72,4.29,990,810,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,937,49,0,59,0,37,14,555,342,5,42,36,130,340,280,60,52,360,0,0,0,0,0,0,0,0,0,1973
60855071001,1018,94375.0,8,87,135,100,94,22,42.9,0,140,167,71,46,11,11,0,2.28,2.62,1.93,1018,599,419,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,67,79,8,37,8,0,892,0,0,115,0,0,11,506,218,24,105,14,145,446,246,200,140,265,35,33,8,0,63,42,0,0,0,1965
60855071002,1793,82833.0,8,349,381,145,55,6,40.6,108,274,315,146,85,16,0,0,2.14,2.76,1.95,1793,546,1247,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,123,123,235,71,17,0,23,1446,81,8,94,0,68,96,700,306,25,183,29,157,836,540,296,274,268,38,0,21,317,63,80,118,39,0,1966
60855072031,1509,165114.0,20,75,265,169,109,0,42.8,22,154,236,93,125,8,0,0,2.41,2.64,2.28,1484,589,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,44,130,67,41,90,1013,13,0,418,0,15,50,635,343,37,76,61,118,616,309,307,154,76,194,0,0,0,76,46,193,53,0,1983
