ref_id_side,route,count
2265L,401X,3
23693931L,303X,4
23694003L,202X,6
23694003R,202X,6
23694020L,304X,13
23694020R,304X,9
23694092L,105X,2
23694145L,304X,8
23694145R,304X,7
23694200R,503X,4
23694210L,204X,10
23694210R,204X,10
23694211L,204X,14
23694211R,204X,10
23694495L,304X,1
23694495R,304X,1
23694497L,304X,2
23694497R,304X,2
23694498L,304X,11
23694498R,304X,12
23694499L,304X,2
23694499R,304X,5
23694580L,502X,2
23694580R,502X,2
23694613L,502X,3
23694613R,502X,3
23694614L,502X,3
23694678L,403X,7
23694678R,403X,5
23694684L,105X,6
23694684R,105X,6
23694694L,405X,2
23694694R,405X,1
23694696L,405X,1
23694696R,405X,1
23694697L,405X,5
23694697R,405X,6
23694698L,405X,7
23694698R,405X,5
23694709L,202X,13
23694709R,202X,14
23694780L,504X,3
23694780R,504X,3
23694973L,105X,2
23694973R,105X,3
23695123L,502X,7
23695123R,502X,10
23695258L,204X,5
23695258R,204X,6
23695259L,204X,1
23695259R,204X,3
23695260L,205X,2
23695260R,205X,1
23695261L,205X,2
23695261R,205X,1
23695432R,405X,6
23695510L,305X,6
23695510R,305X,8
23695552L,204X,3
23695553L,204X,1
23695553R,204X,1
23695554L,204X,10
23695554R,204X,10
23695555L,204X,10
23695555R,204X,10
23695557L,202X,4
23695557R,202X,5
23695558L,202X,6
23695558R,202X,8
23695708L,304X,17
23695708R,304X,12
23695879L,304X,17
23695879R,304X,15
23696017L,105X,9
23696017R,105X,6
23696018L,105X,5
23696018R,105X,4
23696310L,202X,6
23696310R,202X,3
23696312L,205X,19
23696312R,205X,18
23696370L,503X,16
23696370R,503X,18
23696605L,105X,3
23696605R,105X,2
23696652L,502X,3
23696652R,502X,4
23696653L,204X,16
23696653R,204X,11
23696732L,502X,5
23696732R,502X,7
23696733L,502X,3
23696733R,502X,2
23696734L,502X,1
23696735L,502X,8
23696739L,203X,1
23696863L,305X,3
23696863R,305X,4
23696864L,305X,3
23696864R,305X,5
23696865L,302X,4
23696865R,305X,4
23696866L,302X,3
23696866R,305X,4
23696867L,302X,3
23696867R,305X,6
23696868L,302X,3
23696868R,305X,4
23696869L,302X,4
23696869R,305X,5
23696870L,302X,4
23696870R,305X,6
23696871L,302X,4
23696871R,305X,5
23696915L,404X,10
23696915R,405X,2
23696916R,405X,1
23696917L,404X,4
23696917R,405X,2
23696918L,404X,3
23696919R,405X,1
23696920L,404X,6
23696920R,405X,4
23696923L,203X,1
23696923R,405X,2
23696924L,203X,1
23696924R,405X,1
23696925L,203X,1
23696925R,405X,2
23696926L,203X,1
23697067L,405X,1
23697067R,405X,1
23697069L,405X,1
23697069R,405X,1
23697070R,405X,4
23697072L,405X,4
23697072R,405X,2
23697073L,405X,8
23697073R,405X,7
23697161R,104X,4
23697162R,104X,3
23697163R,104X,3
23697164L,103X,5
23697164R,103X,7
23697166L,404X,4
23697166R,404X,4
23697167L,404X,3
23697167R,404X,2
23697171R,203X,4
23697237L,502X,4
23697237R,502X,6
23697317L,205X,3
23697317R,205X,2
23697318L,205X,1
23697318R,205X,3
23697355R,303X,1
23697441L,305X,17
23697441R,305X,14
23697587L,205X,3
23697587R,205X,3
23697674L,504X,8
23697674R,504X,10
23697722L,105X,3
23697722R,105X,5
23697828L,104X,1
23697828R,203X,1
23697841R,203X,1
23697842R,203X,2
23697895L,105X,1
23697896L,105X,5
23697896R,105X,3
23697939L,404X,1
23697939R,404X,1
23697941L,404X,2
23697946L,404X,4
23697946R,404X,1
23698001L,405X,7
23698001R,405X,8
23698027L,504X,3
23698027R,504X,3
23698161L,504X,5
23698161R,504X,3
23698162R,504X,4
23698163L,504X,4
23698188L,504X,4
23698189L,504X,2
23698269L,202X,9
23698269R,202X,7
