ref_id_side,route,count
127829262L,1F1B,6
127829262R,1F1B,5
127846119L,3F3B,2
127846120L,3F3B,7
127846121L,3F3B,4
127846121R,3F3B,4
1322R,4F1A,1
1323L,4F1A,7
1323R,4F1A,5
1355R,4F2B,3
1356L,4F2B,2
1357R,4F2B,3
1885L,3F1A,6
1885R,3F1A,7
1887L,3F1A,5
2040L,3F3B,5
2040R,3F3B,2
2042R,3F3A,8
2252R,4F3A,16
2258L,4F2A,5
2264R,4F2A,4
2265L,4F2A,3
23693931L,3F1A,3
23694003L,2F1B,6
23694003R,2F1B,6
23694020L,3F3B,13
23694020R,3F3B,9
23694092L,1F1A,2
23694145L,3F1B,8
23694145R,3F1B,7
23694200R,5F2A,5
23694210L,2F3A,10
23694210R,2F3A,10
23694211L,2F3A,14
23694211R,2F3A,11
23694495L,3F1B,1
23694495R,3F1B,1
23694497L,3F1B,2
23694497R,3F1B,2
23694498L,3F1B,11
23694498R,3F1B,12
23694499L,3F1B,2
23694499R,3F1B,5
23694580L,5F1B,3
23694580R,5F1B,2
23694613L,5F1B,3
23694613R,5F1B,3
23694614L,5F1B,3
23694678L,4F3A,7
23694678R,4F3A,5
23694684L,1F1A,6
23694684R,1F1A,6
23694694L,4F2B,2
23694694R,4F2B,1
23694696L,4F2B,1
23694696R,4F2B,1
23694697L,4F2B,5
23694697R,4F2B,6
23694698L,4F2B,7
23694698R,4F2B,5
23694709L,2F1B,13
23694709R,2F1B,15
23694780L,5F3B,3
23694780R,5F3B,3
23694973L,1F1A,2
23694973R,1F1A,3
23695123L,5F1B,7
23695123R,5F1B,10
23695258L,2F3B,5
23695258R,2F3B,6
23695259L,2F3B,1
23695259R,2F3B,3
23695260L,2F2A,2
23695260R,2F2A,1
23695261L,2F2A,2
23695261R,2F2A,1
23695432R,4F1B,5
23695510L,3F3A,6
23695510R,3F1A,8
23695552L,2F3A,3
23695553L,2F3A,1
23695553R,2F3A,1
23695554L,2F3A,10
23695554R,2F3A,10
23695555L,2F3A,10
23695555R,2F3A,10
23695557L,2F3A,4
23695557R,2F3A,5
23695558L,2F3A,6
23695558R,2F3A,8
23695708L,3F1B,18
23695708R,3F1B,12
23695879L,3F1B,18
23695879R,3F1B,15
23696017L,1F1A,9
23696017R,1F1A,6
23696018L,1F1A,5
23696018R,1F1A,4
23696310L,2F3A,6
23696310R,2F3A,3
23696312L,2F2A,19
23696312R,2F2A,18
23696370L,5F2A,16
23696370R,5F2A,18
23696605L,1F1A,3
23696605R,1F1A,2
23696652L,5F3B,3
23696652R,5F3B,4
23696653L,2F3B,18
23696653R,2F3B,12
23696732L,5F1B,5
23696732R,5F1B,7
23696733L,5F1B,3
23696733R,5F1B,2
23696734L,5F1B,1
23696735L,5F1B,8
23696863L,3F1A,3
23696863R,3F1A,4
23696864L,3F1A,3
23696864R,3F1A,5
23696865L,3F1A,2
23696865R,3F1A,4
23696866L,3F1A,3
23696866R,3F1A,5
23696867L,3F1A,3
23696867R,3F1A,6
23696868L,3F1A,3
23696868R,3F1A,4
23696869L,3F1A,4
23696869R,3F1A,5
23696870L,3F1A,4
23696870R,3F1A,6
23696871L,3F1A,4
23696871R,3F1A,5
23696915L,4F2B,10
23696915R,4F2B,2
23696916R,4F2B,1
23696917L,4F2B,4
23696917R,4F2B,2
23696918L,4F2B,3
23696919R,4F2B,1
23696920L,4F2B,6
23696920R,4F2B,4
23696923L,2F1A,1
23696923R,4F1B,2
23696924L,2F1A,1
23696924R,4F1B,1
23696925L,2F1A,1
23696925R,4F1B,2
23696926L,2F1A,1
23697067L,4F2B,1
23697067R,4F1B,1
23697069L,4F2B,1
23697069R,4F1B,1
23697070R,4F1B,4
23697072L,4F2B,4
23697073L,4F1B,9
23697073R,4F1B,8
23697161R,1F3B,4
23697162R,1F3B,3
23697163R,1F3B,3
23697164L,1F1B,5
23697164R,1F3B,7
23697166L,4F2B,4
23697166R,4F2B,4
23697167L,4F2B,3
23697167R,4F2B,1
23697171R,2F1A,4
23697237L,5F1B,4
23697237R,5F1B,6
23697317L,2F2A,3
23697317R,2F2A,1
23697318L,2F2A,1
23697318R,2F2A,1
23697355R,3F1A,1
23697441L,3F3A,17
23697441R,3F3A,15
23697587L,2F3A,3
23697587R,2F3A,3
23697674L,5F3A,8
23697674R,5F3A,10
23697722L,1F1A,3
23697722R,1F1A,5
23697828L,1F3A,1
23697828R,2F1A,1
23697895L,1F1A,1
23697896L,1F1A,5
23697896R,1F1A,3
23697939L,4F3B,1
23697941L,4F3B,1
23697946L,4F3B,4
23697946R,4F3B,1
23698001L,4F1B,7
23698001R,4F1B,8
23698027L,5F3B,3
23698027R,5F3B,3
23698161L,5F3B,5
23698161R,5F3B,3
23698162R,5F3B,4
23698163L,5F3B,4
23698188L,5F3B,4
23698189L,5F3B,2
23698269L,2F1B,9
23698269R,2F1B,7
23698286L,5F3B,5
23698286R,5F3B,6
23698288L,5F3B,5
23698288R,5F3B,4
23698349L,1F1B,9
23698349R,1F1B,7
23698350L,1F1B,4
23698350R,1F1B,11
23698351L,1F1B,9
23698351R,1F1B,7
23698407L,2F1A,4
23698407R,4F2B,6
23698408R,2F1A,3
23698409L,2F1A,4
23698409R,4F2B,4
23698413L,4F1B,6
23698413R,4F2B,5
23698414L,4F1B,4
23698414R,4F2B,6
23698415L,4F1B,6
23698415R,4F2B,2
23698416L,4F1B,3
23698416R,4F1B,15
23698417L,4F1B,2
23698417R,4F1B,7
23698418L,4F1B,2
23698418R,4F1B,5
23698419L,4F1B,1
23698419R,4F1B,8
23698467L,3F1B,3
23698467R,3F1B,3
23698515L,1F1A,3
23698515R,1F1A,1
23698516L,1F1A,10
23698516R,1F1A,12
23698517L,1F1A,1
23698517R,1F1A,2
23698762L,1F3B,13
23698762R,1F3B,13
23698763L,1F3B,9
23698763R,1F3B,8
23698836L,2F3B,11
23698836R,2F3B,13
23699011L,2F3A,3
23699011R,2F3A,6
23699012L,2F3A,3
23699012R,2F3A,5
23699016L,2F3B,8
23699016R,2F3B,11
23699063L,4F3B,3
23699063R,4F3B,2
23699245L,3F3B,6
23699245R,3F3B,9
23699257L,2F3A,9
23699257R,2F3A,6
23699270L,1F1A,7
23699270R,1F1A,6
23699396R,2F2A,2
23699402L,2F1B,2
23699402R,2F3B,5
23699403L,2F3B,4
23699403R,2F1B,1
23699404L,2F1B,1
23699404R,2F3B,2
23699405L,2F1B,1
23699405R,2F1B,3
23699628L,4F2B,11
23699628R,4F2B,10
23699629L,4F2B,4
23699629R,4F2B,4
23699632R,2F1A,1
23699633L,2F1A,8
23699633R,2F1A,1
23699634L,2F1A,5
23699634R,2F1A,8
23699635L,2F1A,3
23699636R,1F3B,4
23699639L,1F3B,1
23699792L,5F2A,6
23699792R,5F2A,6
23699793L,5F2A,2
23699793R,5F2A,5
23699828L,1F2B,2
23699829L,1F2B,1
23699830L,1F2B,2
23699830R,1F2B,1
23699831L,1F2B,5
23699831R,1F2B,3
23699832L,1F2B,1
23699858L,3F1B,1
23699858R,3F1B,2
23699859L,3F1B,4
23699859R,3F1B,7
23699862L,3F1B,3
23699862R,3F1B,2
23699863R,3F1B,1
23699865L,3F1B,6
23699865R,3F1B,6
23699910R,1F3A,1
23699980L,3F1B,15
23699980R,3F1B,13
23700007L,5F3B,3
23700007R,5F3B,5
23700008L,5F3B,1
23700008R,5F3B,4
23700012L,5F3B,3
23700012R,5F3B,3
23700013R,5F1B,1
23700041L,3F1A,8
23700041R,3F1A,6
23700063L,1F1A,3
23700063R,1F1A,2
23700079L,4F3A,3
23700079R,4F3A,3
23700162L,3F1A,7
23700162R,3F1A,7
23700170L,2F3A,3
23700170R,2F3A,5
23700171L,2F3A,5
23700171R,2F3A,6
23700367L,4F3A,12
23700367R,4F3A,12
23700518L,4F1B,14
23700518R,4F1B,13
23700682L,4F1B,14
23700682R,4F1B,12
23700683L,4F1B,10
23700683R,4F1B,8
23700706R,1F1A,4
23700708L,1F1A,3
23700756L,4F1B,7
23700756R,4F1B,5
23700841L,3F1B,4
23700841R,3F1B,9
23700926L,3F3A,3
23700926R,3F3A,1
23700932L,3F1A,9
23700932R,3F1A,9
23701041L,4F3A,9
23701041R,4F3A,6
23701042R,4F3A,1
23701043L,4F3A,5
23701043R,4F3A,4
23701045L,4F3A,1
23701045R,4F3A,1
23701050R,3F1B,4
23701051L,3F1B,3
23701051R,3F1B,4
23701166L,1F3A,17
23701166R,1F3A,19
23701167L,1F3A,2
23701167R,1F3A,1
23701182L,1F3B,5
23701182R,1F3B,6
23701245L,5F3A,3
23701245R,5F3B,3
23701246L,5F3B,3
23701246R,5F3A,2
23701247R,5F3B,3
23701253L,5F3A,3
23701253R,5F3B,1
23701266L,4F3A,4
23701266R,4F3A,1
23701267L,4F3A,6
23701267R,4F3A,2
23701358L,1F3B,11
23701358R,1F3B,9
23701359L,1F3B,10
23701359R,1F3B,6
23701367R,5F3B,2
23701368L,5F3B,9
23701368R,5F3B,7
23701412L,4F1B,4
23701412R,4F1B,5
23701413L,2F1A,4
23701413R,2F1A,4
23701414L,2F1A,5
23701414R,2F1A,7
23701415R,2F1A,1
23701538L,3F1A,4
23701538R,3F1A,3
23701539L,3F1A,4
23701539R,3F1A,3
23701541L,3F1A,5
23701541R,3F1A,3
23701542L,3F1A,6
23701542R,3F1A,3
23701543L,3F1A,3
23701543R,3F1A,3
23701544L,3F1A,5
23701544R,3F1A,4
23701545L,3F1A,5
23701545R,3F1A,3
23701546L,3F1A,4
23701546R,3F1A,3
23701567R,3F3B,3
23701568L,3F3B,1
23701568R,3F3B,3
23701569L,3F3B,8
23701569R,3F3B,9
23701848L,2F3B,7
23701848R,2F3B,8
23701857R,2F3B,1
23701858R,2F3B,1
23701859L,2F3B,1
23701859R,2F3B,4
23701860L,2F3B,2
23701860R,2F3B,5
23701861L,2F1B,11
23701861R,2F1B,10
23701862L,2F3B,2
23701862R,2F3B,4
23701863L,2F1B,2
23701863R,2F3B,2
23701864L,2F1B,12
23701864R,2F1B,16
23701865R,2F1B,4
23701866R,2F1B,3
23701999L,4F1B,1
23701999R,4F1B,1
23702029L,5F3A,2
23702029R,5F3A,2
23702030R,5F3A,1
23702031L,5F3A,1
23702031R,5F3A,1
23702032L,5F3B,1
23702032R,5F3B,1
23702033L,5F3B,6
23702033R,5F3B,5
23702037L,5F3A,3
23702037R,5F3A,3
23702038L,2F1A,4
23702046L,2F1A,9
23702046R,2F1A,6
23702047L,2F1A,8
23702047R,2F1A,9
23702231L,1F2B,15
23702231R,1F2B,12
23702279L,1F3B,6
23702279R,1F3B,1
23702281L,2F3A,3
23702281R,2F3A,6
23702361L,4F1B,3
23702361R,4F1B,2
23702467L,2F1B,2
23702467R,2F1B,1
23702468L,2F1B,4
23702469L,2F1B,3
23702470L,2F1B,3
23702497L,1F3A,22
23702497R,1F3A,24
23702539R,4F1A,3
23702540L,4F1A,3
23702540R,4F1A,3
23702542L,4F1A,10
23702542R,4F1A,8
23702678L,2F1B,3
23702678R,2F1B,4
23702680R,2F1B,2
23702694L,5F1A,7
23702694R,5F1A,5
23702769L,3F3A,1
23702809R,5F1B,3
23702810R,5F1B,3
23702887R,5F1A,9
23702948L,2F2A,8
23702948R,2F2A,8
23702949L,2F2A,18
23702949R,2F2A,18
23703061R,3F1A,4
23703062R,3F1A,4
23703063R,3F3B,3
23703064L,3F1A,4
23703064R,3F1A,6
23703065R,3F1A,3
23703066L,3F1A,4
23703066R,3F1A,4
23703107L,3F1B,6
23703107R,3F1B,9
23703111L,3F1B,6
23703111R,3F1B,8
23703220L,2F3A,4
23703221L,2F3A,4
23703222L,2F3A,4
23703223L,2F2A,2
23703223R,2F2A,2
23703226R,2F2A,5
23703491L,3F3B,5
23703491R,3F3B,4
23703717R,1F3B,5
23703718L,1F3B,9
23703718R,1F3B,14
23703738L,2F1A,6
23703739L,2F1A,6
23703883L,5F3A,4
23703883R,5F3A,4
23703905L,1F3A,7
23703905R,1F3A,6
23703906L,1F1A,9
23703906R,1F3A,9
23704021R,4F2B,9
23704022R,4F2B,12
23704023L,2F1A,2
23704023R,2F1A,1
23704026L,2F1A,1
23704027L,2F1A,2
23704027R,2F1A,2
23704028L,2F1A,4
23704028R,2F1A,1
23704049L,4F3B,5
23704049R,4F3B,5
23704254L,3F3B,5
23704254R,3F3B,5
23704255L,3F3B,1
23704255R,3F3B,1
23704256L,3F3B,1
23704454L,5F1B,6
23704454R,5F1B,6
23704505L,4F3B,3
23704505R,4F3B,6
23704548R,4F1A,1
23704564R,3F3B,4
23704587L,1F1A,6
23704588L,1F1A,3
23704589L,1F1A,2
23704631L,2F3B,3
23704631R,2F3B,4
23704632L,2F3B,4
23704632R,2F3B,1
23704688L,3F3B,2
23704688R,3F3B,1
23704689L,3F3B,3
23704689R,3F3B,3
23704805L,1F1A,15
23704805R,1F1A,15
23704903L,1F1A,9
23704903R,1F1A,9
23704904L,1F1A,9
23704904R,1F1A,8
23704919L,1F1A,5
